class,line,test_pictures,mean_of_means,std_of_means,min_mean,median_mean,max_mean,frame_sizes,distinct_byte_sizes
Fiber,L24,26,17.08,2.2,10.9,17.69,19.6,2448x2048,1
Fiber,L25,11,15.74,2.14,11.24,16.73,17.51,2448x2048,1
Fiber,L26,8,11.68,2.26,9.48,11.14,17.13,2448x2048,1
Fiber,L27,27,13.25,1.29,11.85,12.57,16.93,2448x2048,1
Fiber,L31,36,15.94,0.83,13.22,16.02,17.16,2448x2048,1
Foreign Matter,L24,86,16.6,1.74,10.43,16.71,20.39,2448x2048,1
Foreign Matter,L25,25,12.92,3.14,10.1,10.97,18.04,2448x2048,1
Foreign Matter,L26,49,11.09,2.92,8.33,10.26,19.2,2448x2048,1
Foreign Matter,L27,165,13.06,1.83,7.33,13.04,17.11,2448x2048,1
Foreign Matter,L31,59,15.01,1.38,12.33,15.34,17.25,2448x2048,1
Missing Primary Package,L24,344,14.85,2.27,10.0,14.74,19.54,2448x2048,1
Missing Primary Package,L25,57,19.03,1.03,15.69,19.25,20.48,2448x2048,1
Missing Primary Package,L26,2,15.93,0.02,15.91,15.94,15.94,2448x2048,1
Missing Primary Package,L27,4,22.23,12.81,11.89,16.49,44.19,2448x2048,1
Missing Primary Package,L31,22,16.43,0.85,13.95,16.65,17.54,2448x2048,1
Multiple Lenses,L24,101,15.75,2.52,10.32,16.48,20.94,2448x2048,1
Multiple Lenses,L25,83,14.9,3.19,9.06,16.3,19.43,2448x2048,1
Multiple Lenses,L26,202,11.27,2.79,8.03,10.68,19.55,2448x2048,1
Multiple Lenses,L27,16,12.21,1.47,7.71,12.44,14.95,2448x2048,1
Multiple Lenses,L31,29,15.78,1.55,12.05,15.88,17.99,2448x2048,1
Lens Off Center,L24,59,16.64,1.62,10.41,16.78,19.63,2448x2048,1
Lens Off Center,L25,2,17.33,0.3,17.03,17.63,17.63,2448x2048,1
Lens Off Center,L26,2,16.16,0.1,16.06,16.26,16.26,2448x2048,1
Lens Off Center,L27,8,14.89,2.89,10.06,16.18,17.86,2448x2048,1
Lens Off Center,L31,6,15.65,0.48,15.14,15.98,16.26,2448x2048,1
Missing Lens,L24,55,18.45,1.48,13.28,18.65,21.06,2448x2048,1
Missing Lens,L25,2,17.21,0.56,16.66,17.77,17.77,2448x2048,1
Missing Lens,L26,1,14.82,0.0,14.82,14.82,14.82,2448x2048,1
Missing Lens,L27,24,35.68,15.94,10.33,46.15,49.18,2448x2048,1
Missing Lens,L31,15,15.81,1.76,13.51,15.22,19.7,2448x2048,1
HEMA Obstruction,L24,45,14.7,3.18,10.19,14.11,20.07,2448x2048,1
HEMA Obstruction,L25,5,11.09,0.5,10.3,11.37,11.54,2448x2048,1
HEMA Obstruction,L26,1,10.78,0.0,10.78,10.78,10.78,2448x2048,1
HEMA Obstruction,L27,1,12.2,0.0,12.2,12.2,12.2,2448x2048,1
HEMA Obstruction,L31,1,14.55,0.0,14.55,14.55,14.55,2448x2048,1
