class,line,sample,file,test_pictures_for_class_on_line,width,height,bytes,mean_intensity,std_intensity,min_intensity,max_intensity
Fiber,L24,1,20241120_034101_L24_C12_9948_0.9992_0.8933.bmp,26,2448,2048,5014582,17.7,36.8,0,121
Fiber,L24,2,20241111_182324_L24_C4_9997.bmp,26,2448,2048,5014582,19.1,39.2,0,127
Fiber,L25,1,20241112_200146_L25_C4_9923.bmp,11,2448,2048,5014582,16.7,35.1,0,114
Fiber,L25,2,20241112_191607_L25_C5_9788.bmp,11,2448,2048,5014582,16.8,35.2,0,115
Fiber,L26,1,20260814_155423_L26_PalletGHB0814201519_Cavity15_B01BH3D_Fail3_Score(0.9303301).bmp,8,2448,2048,5014582,11.1,23.6,0,78
Fiber,L26,2,20260907_072351_L26_PalletGHK0907114451_Cavity14_B01BMPK_Fail7_Score(0.9916695).bmp,8,2448,2048,5014582,10.9,23.7,0,78
Fiber,L27,1,20260906_102245_L27_PalletGHS0906134847_Cavity10_B01BMD6_Fail7_Score(0.9884009).bmp,27,2448,2048,5014582,14.4,30.2,0,99
Fiber,L27,2,20260909_022255_L27_PalletGHF0909054903_Cavity15_B01BMCZ_Fail7_Score(0.9986195).bmp,27,2448,2048,5014582,12.1,25.6,0,88
Fiber,L31,1,20260817_060715_L31_PalletGHP0817103742_Cavity10_B01BHQ1_Fail7_Score(0.999054).bmp,36,2448,2048,5014582,15.4,30.8,0,100
Fiber,L31,2,20260808_051243_L31_PalletGHM0808094831_Cavity11_B01BGTX_Fail7_Score(0.9987197).bmp,36,2448,2048,5014582,16.0,32.2,0,103
Foreign Matter,L24,1,20241111_023935_L24_PalletGHP1111073859_Cavity3_B0178JP_Fail7_Score(0.9997332)_0.9996_0.9615.bmp,86,2448,2048,5014582,18.2,38.1,0,117
Foreign Matter,L24,2,20241109_183106_L24_PalletGHE1109233021_Cavity11_B0178JG_Fail7_Score(0.9932979)_0.9999_0.9942.bmp,86,2448,2048,5014582,18.1,36.9,0,114
Foreign Matter,L25,1,20260906_082217_L25_PalletGHS0906124807_Cavity9_B01BMMJ_Fail6_Score(0.9707558)_0.9997_0.9789.bmp,25,2448,2048,5014582,10.6,22.5,0,73
Foreign Matter,L25,2,20241205_183611_L25_C10_9997.bmp,25,2448,2048,5014582,18.0,36.1,0,121
Foreign Matter,L26,1,20260822_154448_L26_PalletGHF0822200607_Cavity10_B01BKPV_Fail4_Score(0.9339343).bmp,49,2448,2048,5014582,9.5,19.9,0,74
Foreign Matter,L26,2,20260820_003759_L26_PalletGHT0820045930_Cavity7_B01BKM3_Fail5_Score(0.9582599).bmp,49,2448,2048,5014582,10.8,22.0,0,78
Foreign Matter,L27,1,20260903_160417_L27_PalletGHO0903193004_Cavity15_B01BMCR_Fail7_Score(0.9993839).bmp,165,2448,2048,5014582,12.1,25.6,0,84
Foreign Matter,L27,2,20260904_145311_L27_PalletGHI0904181910_Cavity8_B01BMCT_Fail7_Score(0.9990994).bmp,165,2448,2048,5014582,12.6,26.0,0,91
Foreign Matter,L31,1,20260808_191720_L31_PalletGHQ0808235321_Cavity9_B01BGV2_Fail7_Score(0.9998164).bmp,59,2448,2048,5014582,16.8,34.0,0,107
Foreign Matter,L31,2,20260805_103220_L31_PalletGHA0805150751_Cavity4_B01BGTV_Fail7_Score(0.9990243).bmp,59,2448,2048,5014582,13.4,27.0,0,90
Missing Primary Package,L24,1,20241210_232038_L24_C2_9878_0.9997.bmp,344,2448,2048,5014582,12.3,28.0,0,124
Missing Primary Package,L24,2,20241120_070252_L24_C5_9418_0.9998.bmp,344,2448,2048,5014582,17.5,38.9,0,145
Missing Primary Package,L25,1,20241207_080249_L25_C10_9991.bmp,57,2448,2048,5014582,19.1,40.2,0,148
Missing Primary Package,L25,2,20241116_040630_L25_C14_9138.bmp,57,2448,2048,5014582,19.2,40.5,0,145
Missing Primary Package,L26,1,20241110_180746_L26_C10_9670.bmp,2,2448,2048,5014582,15.9,35.2,0,142
Missing Primary Package,L26,2,20241115_031728_L26_C11_9850.bmp,2,2448,2048,5014582,15.9,35.8,0,142
Missing Primary Package,L27,1,20241112_153448_L27_C11_1_0.2771.bmp,4,2448,2048,5014582,44.2,88.4,0,255
Missing Primary Package,L27,2,20260909_105456_L27_PalletGHP0909141207_Cavity2_B01BMCZ_Fail2_Score(0.9039732).bmp,4,2448,2048,5014582,11.9,26.7,0,111
Missing Primary Package,L31,1,20260807_231352_L31_PalletGHJ0808034942_Cavity8_B01BG28_Fail5_Score(0.9520407).bmp,22,2448,2048,5014582,16.6,35.2,0,126
Missing Primary Package,L31,2,20260814_151116_L31_PalletGHD0814194729_Cavity6_B01BHK8_Fail4_Score(0.9406629).bmp,22,2448,2048,5014582,16.8,35.0,0,125
Multiple Lenses,L24,1,20260811_180253_L24_PalletGHO0811221814_Cavity3_B01BFR9_Fail7_Score(0.9980349).bmp,101,2448,2048,5014582,15.9,30.2,0,110
Multiple Lenses,L24,2,20260816_181210_L24_PalletGHM0816222740_Cavity10_B01BHVZ_Fail7_Score(0.994328).bmp,101,2448,2048,5014582,17.1,32.6,0,113
Multiple Lenses,L25,1,20241121_174541_L25_C13_9999.bmp,83,2448,2048,5014582,17.4,35.1,0,113
Multiple Lenses,L25,2,20260820_065823_L25_PalletGHQ0820112256_Cavity2_B01BKQQ_Fail7_Score(0.9960681).bmp,83,2448,2048,5014582,11.2,23.4,0,75
Multiple Lenses,L26,1,20260908_074915_L26_PalletGHG0908121017_Cavity5_B01BMPN_Fail7_Score(0.9973232).bmp,202,2448,2048,5014582,11.6,23.9,0,78
Multiple Lenses,L26,2,20260825_194845_L26_PalletGHH0826000941_Cavity11_B01BKM6_Fail7_Score(0.9990023).bmp,202,2448,2048,5014582,10.1,21.9,0,79
Multiple Lenses,L27,1,20260809_123913_L27_PalletGHM0809160502_Cavity1_B01BH58_Fail7_Score(0.9862868).bmp,16,2448,2048,5014582,12.4,24.8,0,90
Multiple Lenses,L27,2,20260908_193337_L27_PalletGHG0908225803_Cavity10_B01BMCX_Fail7_Score(0.9963773).bmp,16,2448,2048,5014582,11.8,24.3,0,85
Multiple Lenses,L31,1,20260806_173811_L31_PalletGHS0806221231_Cavity8_B01BGTT_Fail7_Score(0.9999999).bmp,29,2448,2048,5014582,17.1,33.6,0,105
Multiple Lenses,L31,2,20260817_102820_L31_PalletGHE0817150358_Cavity13_B01BHQ3_Fail7_Score(0.9999775).bmp,29,2448,2048,5014582,13.6,27.5,0,99
Lens Off Center,L24,1,20260730_141758_L24_PalletGHN0730183414_Cavity5_D009FZ8_Pass1_Score(0.0109601).bmp,59,2448,2048,5014582,16.4,33.6,0,108
Lens Off Center,L24,2,20260803_110201_L24_PalletGHB0803151741_Cavity2_D009G6F_Pass1_Score(0.01322496).bmp,59,2448,2048,5014582,17.0,34.7,0,112
Lens Off Center,L25,1,20241211_180816_L25_C14_9997.bmp,2,2448,2048,5014582,17.6,35.6,0,119
Lens Off Center,L25,2,20241110_194101_L25_C1_9902.bmp,2,2448,2048,5014582,17.0,35.5,0,112
Lens Off Center,L26,1,20241103_183740_L26_C3_9288.bmp,2,2448,2048,5014582,16.3,33.5,0,109
Lens Off Center,L26,2,20241110_080727_L26_C12_9730.bmp,2,2448,2048,5014582,16.1,33.2,0,108
Lens Off Center,L27,1,20241207_052457_L27_C12_9742.bmp,8,2448,2048,5014582,15.0,31.0,0,102
Lens Off Center,L27,2,20241103_212054_L27_C14_1_0.7419.bmp,8,2448,2048,5014582,10.1,21.0,0,86
Lens Off Center,L31,1,20260904_020248_L31_PalletGHE0904063853_Cavity14_B01BKVH_Fail6_Score(0.966912).bmp,6,2448,2048,5014582,16.3,33.8,0,107
Lens Off Center,L31,2,20260809_220427_L31_PalletGHP0810024027_Cavity5_B01BGVC_Fail6_Score(0.9823591).bmp,6,2448,2048,5014582,15.2,31.5,0,103
Missing Lens,L24,1,20241205_000005_L24_C9_9276_1.0000.bmp,55,2448,2048,5014582,19.5,40.6,0,128
Missing Lens,L24,2,20260811_180249_L24_PalletGHM0811221809_Cavity11_B01BFR9_Fail5_Score(0.9525482).bmp,55,2448,2048,5014582,13.7,27.4,0,116
Missing Lens,L25,1,20241110_182644_L25_C15_9819.bmp,2,2448,2048,5014582,16.7,34.0,0,119
Missing Lens,L25,2,20241113_183156_L25_PalletGHL1113211955_Cavity1_B017B2S_Fail7_Score(0.9983299).bmp,2,2448,2048,5014582,17.8,37.6,0,116
Missing Lens,L26,1,20241106_063610_L26_C8_9777.bmp,1,2448,2048,5014582,14.8,30.9,0,117
Missing Lens,L27,1,20241112_153448_L27_C4_1_0.3783.bmp,24,2448,2048,5014582,46.2,91.2,0,255
Missing Lens,L27,2,20241112_153606_L27_C13_1_0.3554.bmp,24,2448,2048,5014582,45.4,90.9,0,255
