source_md5,source_path,class,line,split
00ced18eb743c0edf0f2ebdd57c99077,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_160417_L27_PalletGHO0903193004_Cavity15_B01BMCR_Fail7_Score(0.9993839).bmp,Foreign Matter,L27,test
015682c5a2b33bece7ec5290d1f29b0a,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260909_070954_L27_PalletGHE0909103613_Cavity15_B01BMCZ_Fail7_Score(0.9999997).bmp,Foreign Matter,L27,test
031ddc056c6317a5ac157720538ece52,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260905_154927_L27_PalletGHL0905191529_Cavity12_B01BMCV_Fail7_Score(0.9963806).bmp,Foreign Matter,L27,test
07af1f06f25f4bf236e9be2699780963,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260807_184814_L27_PalletGHU0807221350_Cavity15_B01BHHF_Fail7_Score(0.9997461).bmp,Foreign Matter,L27,test
07eacfdfb82770db712392f3b2655407,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260809_162602_L27_PalletGHA0809195153_Cavity15_B01BH58_Fail4_Score(0.9465737).bmp,Foreign Matter,L27,test
0b0bd96523a7005819ca88c83b3bec41,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260905_165310_L27_PalletGHH0905201850_Cavity15_B01BMCV_Fail7_Score(0.9999778).bmp,Foreign Matter,L27,test
0b95769a79d1a6c2f302489a3055b570,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260908_155903_L27_PalletGHA0908192517_Cavity10_B01BMCX_Fail7_Score(0.9999998).bmp,Foreign Matter,L27,test
0d0042daba74cc52f42b3faccbc9ff9e,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260907_221430_L27_PalletGHI0908014042_Cavity15_B01BMCW_Fail7_Score(0.9996764).bmp,Foreign Matter,L27,test
0d4e8e83d3840a0eaec45402c967e9de,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260809_064837_L27_PalletGHU0809101422_Cavity11_B01BH58_Fail4_Score(0.9418491)_1.0000_0.4961.bmp,Foreign Matter,L27,test
0e2a55ff15c2e2d439a36f984ae2c7b7,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260905_141653_L27_PalletGHO0905174252_Cavity15_B01BMCV_Fail7_Score(0.9903784).bmp,Foreign Matter,L27,test
0f937b4a864b02403631d3e2c24a3b33,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260906_194752_L27_PalletGHN0906231400_Cavity11_B01BMDC_Fail7_Score(0.9998426).bmp,Foreign Matter,L27,test
0fe64b17ba88b6a88b3a771361f0080d,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260904_024116_L27_PalletGHG0904060710_Cavity15_B01BMCS_Fail7_Score(0.9999971).bmp,Foreign Matter,L27,test
0fe9aa4e4be75d89125b04f05bdcfa83,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260808_201320_L27_PalletGHR0808233908_Cavity4_B01BH57_Fail7_Score(0.9994324)_1.0000_0.6157.bmp,Foreign Matter,L27,test
113b87d9e8506a27d57907ce0d39a864,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260810_111223_L27_PalletGHE0810143815_Cavity12_B01BH5B_Fail7_Score(0.9979715).bmp,Foreign Matter,L27,test
1225e5d1bc59f226469a858142b22624,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_055616_L27_PalletGHJ0903092203_Cavity15_B01BKZX_Fail4_Score(0.9424945)_0.9985_0.9536.bmp,Foreign Matter,L27,test
127e5746f4e240065bd97bf003daa517,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_225834_L27_PalletGHL0904022424_Cavity10_B01BMCR_Fail3_Score(0.9184099).bmp,Foreign Matter,L27,test
1680287176750d9ef88f18eea269aeac,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260807_212431_L27_PalletGHL0808005002_Cavity14_B01BH56_Fail7_Score(0.9999998).bmp,Foreign Matter,L27,test
16bac7f3613c042f7e2da29bda129618,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260903_100116_L27_PalletGHC0903132703_Cavity11_B01BKZX_Fail7_Score(0.9999615).bmp,Foreign Matter,L27,test
16bb7ead395fc34c2d867c66fc25d5dd,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260906_211743_L27_PalletGHA0907004349_Cavity2_B01BMDC_Fail7_Score(0.9999976).bmp,Foreign Matter,L27,test
1735eae1367a92572332caca4685c70c,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260808_130625_L27_PalletGHG0808163209_Cavity15_B01BH56_Fail7_Score(0.9976444).bmp,Foreign Matter,L27,test
197cb6179ed70c0b5a99f71e724a85ef,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260906_083502_L27_PalletGHR0906120107_Cavity15_B01BMD6_Fail7_Score(0.9999232)_0.9999_0.9779.bmp,Foreign Matter,L27,test
1aac39d46f5ae506df4e97bf9306a063,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260808_004115_L27_PalletGHR0808040657_Cavity8_B01BH56_Fail7_Score(0.9998632)_0.9968_0.9216.bmp,Foreign Matter,L27,test
1ad0977d6d8ddfb08766155006d5ffff,/data/FMD_Data_26082026/fmd_temp_images/Updated ICube Objects 20260915/Foreign Matter/20260904_150431_L27_PalletGHK0904183027_Cavity5_B01BMCT_Fail7_Score(0.9999761).bmp,Foreign Matter,L27,test
