class,L24,L25,L26,L27,L31,untagged,total
Bubble,83,18,13,0,0,0,114
Bubble Cluster,18,2,4,10,2,0,36
Bubble Irregular,13,1,7,21,2,0,44
Bubble On 123,1,0,0,0,13,0,14
Bubble On Edge,3,3,1,1,6,0,14
Bubble Scatter,1,0,1,3,2,0,7
Cavity Off Center,52,30,3,13,0,0,98
Dirty Camera,25,0,0,0,0,0,25
Dirty Strobe,0,12,31,0,0,0,43
Extraneous Polymer,11,0,0,4,2,0,17
Fiber,11,29,7,4,10,0,61
Foreign Matter,10,7,19,3,32,0,71
HEMA Fragment,5,0,0,0,3,0,8
HEMA Obstruction,99,3,2,1,0,0,105
Lens Off Center,9,1,0,12,8,0,30
Low Dose Obstructing Region of Interest,18,2,5,37,31,0,93
Missing Lens,3,7,0,3,8,0,21
Missing Primary Package,309,0,2,0,4,0,315
Multiple Lenses,83,25,84,0,15,0,207
Package Misalignment,9,19,6,3,0,0,37
View Obstructed,21,0,1,0,0,0,22
Wet Package,10,2,68,0,3,0,83
TOTAL,794,161,254,115,141,0,1465
