folder,class,line,basename
Updated ICube Objects 20260915,Clear,L24,20241101_105743_L24_C15_9265.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_110324_L24_C11_9264.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_111504_L24_C5_9476.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_111942_L24_C6_9296.bmp
Updated ICube Objects 20260915,Clear,L26,20241101_160206_L26_PalletGHK1101201401_Cavity13_B0177KW_Fail7_Score(0.9929922)_0.5748.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_215839_L24_C6_9739_0.9999_0.7091.bmp
Updated ICube Objects 20260915,Clear,L26,20241101_222125_L26_C7_9189.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_222922_L24_C13_9128_0.9998_0.5056.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_224203_L24_C8_9586.bmp
Updated ICube Objects 20260915,Clear,L26,20241101_224830_L26_C1_9045.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_231700_L24_C9_9738_0.9998_0.6084.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_232312_L24_C9_9558.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_232829_L24_C1_9860.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_233043_L24_C4_9692_0.9993_0.3686.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_233319_L24_C1_9672.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_234557_L24_C6_9870_0.9386_0.5657.bmp
Updated ICube Objects 20260915,Clear,L24,20241101_235953_L24_C2_9893.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_000107_L24_C6_9266.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_004522_L24_C9_9396.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_004947_L26_C1_9010.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_011128_L24_C2_9587.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_021527_L24_C6_9482.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_030253_L24_C12_9626.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_031034_L24_C5_9170_0.9999_0.8696.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_054700_L24_C4_9234.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_060400_L26_C6_9999.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_061939_L26_PalletGHA1102103128_Cavity8_B0177KZ_Fail5_Score(0.9556966).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_063234_L26_C9_9906.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_063451_L26_C11_9857.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_064741_L26_C15_9493.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_073603_L26_PalletGHR1102114800_Cavity5_B0177KZ_Fail7_Score(0.9879337).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_074710_L26_C4_9592.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_074804_L26_C1_9102.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_082612_L26_PalletGHP1102123803_Cavity13_B0177KZ_Fail4_Score(0.9440983).bmp
Updated ICube Objects 20260915,Clear,L24,20241102_083645_L24_C13_9551.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_085045_L26_C14_9697.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_090439_L24_C8_9204.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_090628_L24_C1_9856_0.9999_0.4584.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_093419_L26_PalletGHU1102134613_Cavity8_B0177KZ_Fail7_Score(0.9995976).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_110244_L26_PalletGHN1102151447_Cavity11_B0177KZ_Fail4_Score(0.9440042).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_110624_L26_PalletGHN1102151821_Cavity2_B0177KZ_Fail4_Score(0.9413617).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_110914_L26_C9_9872.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_110934_L26_C8_9475.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_113604_L26_C8_9967.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_123128_L26_PalletGHI1102164326_Cavity9_B0177KZ_Fail5_Score(0.9528883).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_131757_L26_PalletGHT1102172946_Cavity7_B0177KZ_Fail7_Score(0.9952714).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_145307_L26_C12_9738.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_153745_L26_PalletGHF1102194942_Cavity6_B0177KZ_Fail5_Score(0.9515088).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_165852_L26_C10_9332.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_174926_L26_C8_9843.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_174956_L26_C4_9333.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_175456_L24_C10_9659_1.0000_0.6633.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_181117_L26_C9_9965.bmp
Updated ICube Objects 20260915,Clear,L24,20241102_190838_L24_C4_9937_1.0000_0.2925.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_191322_L26_C9_9804.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_192117_L26_C12_9998.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_192335_L26_C7_9985.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_192715_L26_C1_9553.bmp
Updated ICube Objects 20260915,Clear,L26,20241102_192815_L26_PalletGHD1102234009_Cavity5_B0177KX_Fail5_Score(0.9511994).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_204610_L26_PalletGHK1103005812_Cavity2_B0177KX_Fail5_Score(0.9569216).bmp
Updated ICube Objects 20260915,Clear,L26,20241102_231643_L26_C10_9853.bmp
Updated ICube Objects 20260915,Clear,L26,20241103_003546_L26_PalletGHK1103044741_Cavity13_B0177L1_Fail4_Score(0.9453292).bmp
Updated ICube Objects 20260915,Clear,L26,20241103_023607_L26_C6_9419.bmp
Updated ICube Objects 20260915,Clear,L26,20241103_034709_L26_C12_9384.bmp
Updated ICube Objects 20260915,Clear,L26,20241103_034856_L26_C9_9978.bmp
Updated ICube Objects 20260915,Clear,L26,20241103_035923_L26_C2_9666.bmp
Updated ICube Objects 20260915,Clear,L26,20241103_051416_L26_PalletGHG1103102617_Cavity14_B0178LJ_Fail4_Score(0.9348189).bmp
Updated ICube Objects 20260915,Clear,L26,20241103_073210_L26_PalletGHL1103124407_Cavity10_B0178LJ_Fail3_Score(0.9319589).bmp
Updated ICube Objects 20260915,Clear,L26,20241103_080119_L26_PalletGHG1103131322_Cavity13_B0178LJ_Fail4_Score(0.9480836).bmp
