line,class,pictures,train_70,test_30,note
L24,Missing Primary Package,1147,803,344,
L24,Multiple Lenses,335,234,101,
L24,Foreign Matter,287,201,86,
L24,Lens Off Center,195,136,59,
L24,Missing Lens,183,128,55,
L24,HEMA Obstruction,151,106,45,
L24,Low Dose Obstructing Region of Interest,108,76,32,
L24,Cavity Off Center,93,65,28,
L24,Fiber,86,60,26,
L24,Bubble,82,57,25,
L24,Extraneous Polymer,59,41,18,
L24,Package Misalignment,32,22,10,
L24,Dirty Camera,25,17,8,
L24,View Obstructed,19,13,6,
L24,Bubble Cluster,18,13,5,
L24,Bubble Irregular,13,9,4,thin test set
L24,Wet Package,10,7,3,thin test set
L24,HEMA Fragment,5,3,2,thin test set
L24,Bubble On Edge,3,2,1,thin test set
L24,Bubble On 123,1,1,0,one picture only
L24,Bubble Scatter,1,1,0,one picture only
L24,TOTAL,2853,1995,858,21 classes
L25,Multiple Lenses,276,193,83,
L25,Missing Primary Package,189,132,57,
L25,Package Misalignment,176,123,53,
L25,Foreign Matter,84,59,25,
L25,Low Dose Obstructing Region of Interest,57,40,17,
L25,Cavity Off Center,40,28,12,
L25,Fiber,37,26,11,
L25,Bubble,18,13,5,
L25,HEMA Obstruction,18,13,5,
L25,View Obstructed,16,11,5,
L25,Dirty Strobe,12,8,4,thin test set
L25,Extraneous Polymer,9,6,3,thin test set
L25,Missing Lens,6,4,2,thin test set
L25,Lens Off Center,5,3,2,thin test set
L25,Bubble On Edge,3,2,1,thin test set
L25,Bubble Cluster,2,1,1,thin test set
L25,Wet Package,2,1,1,thin test set
L25,Bubble Irregular,1,1,0,one picture only
L25,HEMA Fragment,1,1,0,one picture only
L25,TOTAL,952,665,287,19 classes
L26,Multiple Lenses,674,472,202,
L26,Foreign Matter,162,113,49,
L26,Extraneous Polymer,134,94,40,
L26,Wet Package,52,36,16,
L26,View Obstructed,33,23,10,
L26,Dirty Strobe,31,22,9,
L26,Fiber,26,18,8,
L26,Cavity Off Center,24,17,7,
L26,Package Misalignment,24,17,7,
L26,Low Dose Obstructing Region of Interest,14,10,4,thin test set
L26,Bubble,13,9,4,thin test set
L26,Lens Off Center,8,6,2,thin test set
L26,Bubble Irregular,7,5,2,thin test set
L26,Missing Primary Package,7,5,2,thin test set
L26,Bubble Cluster,4,3,1,thin test set
L26,Missing Lens,3,2,1,thin test set
L26,HEMA Obstruction,2,1,1,thin test set
L26,Bubble On Edge,1,1,0,one picture only
L26,Bubble Scatter,1,1,0,one picture only
L26,TOTAL,1220,855,365,19 classes
L27,Foreign Matter,549,384,165,
L27,Low Dose Obstructing Region of Interest,464,325,139,
L27,Fiber,90,63,27,
L27,Missing Lens,81,57,24,
L27,Multiple Lenses,54,38,16,
L27,Lens Off Center,27,19,8,
L27,Bubble Irregular,21,15,6,
L27,Extraneous Polymer,16,11,5,
L27,Cavity Off Center,13,9,4,thin test set
L27,Missing Primary Package,12,8,4,thin test set
L27,Package Misalignment,11,8,3,thin test set
L27,View Obstructed,11,8,3,thin test set
L27,Bubble Cluster,10,7,3,thin test set
L27,Bubble Scatter,3,2,1,thin test set
L27,HEMA Obstruction,2,1,1,thin test set
L27,Bubble On Edge,1,1,0,one picture only
L27,TOTAL,1365,956,409,16 classes
L31,Low Dose Obstructing Region of Interest,1307,915,392,
L31,Foreign Matter,196,137,59,
L31,Fiber,120,84,36,
L31,Multiple Lenses,97,68,29,
L31,Missing Primary Package,72,50,22,
L31,Missing Lens,51,36,15,
L31,Package Misalignment,50,35,15,
L31,View Obstructed,38,27,11,
L31,Lens Off Center,20,14,6,
L31,Extraneous Polymer,16,11,5,
L31,Bubble On 123,13,9,4,thin test set
L31,Cavity Off Center,13,9,4,thin test set
L31,HEMA Fragment,10,7,3,thin test set
L31,Bubble On Edge,6,4,2,thin test set
L31,Bubble Cluster,2,1,1,thin test set
L31,Bubble Irregular,2,1,1,thin test set
L31,Bubble Scatter,2,1,1,thin test set
L31,HEMA Obstruction,2,1,1,thin test set
L31,Wet Package,2,1,1,thin test set
L31,TOTAL,2019,1411,608,19 classes
